##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,Ayo Dosunmu,*,39,4-12,1-1,4-6,0-2,2,0,2,2,0,0,13
21,Kofi Cockburn,*,24,5-11,0-0,3-3,5-5,10,4,0,0,1,2,13
01,Trent Frazier,*,29,4-13,2-7,0-0,0-1,1,3,1,2,0,0,10
15,Giorgi Bezhanishvili,*,32,2-7,0-1,2-2,0-6,6,3,4,0,2,0,6
20,Da'Monte Williams,*,23,0-3,0-1,0-0,1-6,7,1,0,0,2,1,0
10,Andres Feliz,,23,6-11,0-2,5-5,1-7,8,3,3,1,0,1,17
02,Kipper Nichols,,21,0-5,0-2,0-0,4-2,6,2,0,2,0,0,0
05,Tevian Jones,,5,0-1,0-1,0-0,0-1,1,0,0,1,0,0,0
32,Tyler Underwood,,4,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,2-2,4,0,0,0,0,0,0
