Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG
vs?Nicholls St.,11/05/19,78-70,W (OT),27-61,.443,5-19,.263,19-29,.655,20,33,53,53.0,17,12,23,2,6,78,78.0
at?Grand Canyon,11/08/19,83-71,W,29-64,.453,4-13,.308,21-30,.700,20,32,52,52.5,21,13,17,0,5,83,80.5
at?Arizona,11/10/19,69-90,L,25-53,.472,5-16,.313,14-20,.700,8,20,28,44.3,22,10,22,2,4,69,76.7
vs?Hawaii,11/18/19,66-53,W,23-54,.426,5-12,.417,15-23,.652,11,33,44,44.3,8,14,16,3,3,66,74.0
vs?The Citadel,11/20/19,85-57,W,33-68,.485,3-18,.167,16-21,.762,22,33,55,46.4,13,17,13,4,4,85,76.2
vs?Hampton,11/23/19,120-71,W,45-70,.643,8-18,.444,22-27,.815,14,29,43,45.8,14,29,9,1,9,120,83.5
vs?Lindenwood (MO),11/26/19,117-65,W,39-63,.619,11-25,.440,28-37,.757,12,31,43,45.4,13,25,14,4,13,117,88.3
vs?Miami (FL),12/02/19,79-81,L,28-53,.528,6-17,.353,17-23,.739,10,22,32,43.8,17,16,13,4,4,79,87.1
at?#3 Maryland,12/07/19,58-59,L,22-56,.393,3-14,.214,11-16,.688,10,31,41,43.4,17,10,13,1,5,58,83.9
vs?Michigan,12/11/19,71-62,W,28-61,.459,1-11,.091,14-20,.700,15,29,44,43.5,10,6,13,6,5,71,82.6
vs?Old Dominion,12/14/19,69-55,W,22-47,.468,7-20,.350,18-20,.900,5,25,30,42.3,12,15,17,2,7,69,81.4
at?Mizzou,12/21/19,56-63,L,18-50,.360,2-14,.143,18-23,.783,12,20,32,41.4,20,4,17,5,7,56,79.3
vs?North Carolina A&T,12/29/19,95-64,W,36-68,.529,11-26,.423,12-19,.632,14,25,39,41.2,17,22,9,5,7,95,80.5
at?Michigan St.,01/02/20,56-76,L,22-75,.293,3-28,.107,9-15,.600,20,28,48,41.7,17,14,8,3,2,56,78.7
vs?Purdue,01/05/20,63-37,W,26-57,.456,7-19,.368,4-8,.500,12,34,46,42.0,16,14,13,4,5,63,77.7
at?Wisconsin,01/08/20,71-70,W,28-57,.491,7-16,.438,8-15,.533,8,21,29,41.2,22,11,7,2,1,71,77.3
vs?Rutgers,01/11/20,54-51,W,18-63,.286,2-14,.143,16-19,.842,16,32,48,41.6,12,7,8,4,2,54,75.9
vs?Northwestern,01/18/20,75-71,W,27-54,.500,9-24,.375,12-15,.800,8,24,32,41.1,11,17,8,5,2,75,75.8
at?Purdue,01/21/20,79-62,W,27-49,.551,7-16,.438,18-19,.947,11,26,37,40.8,17,18,14,3,1,79,76.0
at?Michigan,01/25/20,64-62,W,24-54,.444,4-11,.364,12-16,.750,5,29,34,40.5,19,6,8,0,1,64,75.4
vs?Minnesota,01/30/20,59-51,W,21-63,.333,3-15,.200,14-16,.875,13,32,45,40.7,17,10,8,5,4,59,74.6
at?Iowa,02/02/20,65-72,L,24-58,.414,8-22,.364,9-11,.818,13,20,33,40.4,19,12,13,0,6,65,74.2
vs?Maryland,02/07/20,66-75,L,22-61,.361,8-22,.364,14-24,.583,14,26,40,40.3,17,11,11,1,4,66,73.8
vs?Michigan St.,02/11/20,69-70,L,22-60,.367,5-18,.278,20-25,.800,14,24,38,40.3,16,9,13,1,10,69,73.6
at?Rutgers,02/15/20,57-72,L,19-61,.311,8-28,.286,11-15,.733,16,21,37,40.1,15,10,11,3,5,57,73.0
at?Penn St.,02/18/20,62-56,W,24-54,.444,3-10,.300,11-18,.611,10,29,39,40.1,16,8,13,3,5,62,72.5
vs?Nebraska,02/24/20,71-59,W,28-71,.394,5-19,.263,10-17,.588,19,29,48,40.4,10,13,10,2,6,71,72.5
at?Northwestern,02/27/20,74-66,W,27-58,.466,8-23,.348,12-15,.800,13,29,42,40.4,15,19,8,2,1,74,72.5
vs?Indiana,03/01/20,67-66,W,23-52,.442,4-12,.333,17-24,.708,7,24,31,40.1,16,9,7,6,5,67,72.3
at?Ohio St.,03/05/20,63-71,L,24-55,.436,6-22,.273,9-10,.900,9,22,31,39.8,22,10,14,4,6,63,72.0
vs?Iowa,03/08/20,78-76,W,30-61,.492,7-24,.292,11-17,.647,12,18,30,39.5,19,20,5,2,6,78,72.2
