Player,Position,Rating,National Rank,Position Rank
Adam Miller,SG,0.9886,32,6
Andre Curbelo,PG,0.9835,43,8
Coleman Hawkins,PF,0.9217,152,35
Kofi Cockburn,C,0.9818,46,12
Benjamin Bosmans-Verdonk,PF,,,
Jermaine Hamlin,C,,,
Ayo Dosunmu,CG,0.9888,32,3
Tevian Jones,SF,0.9423,118,27
Alan Griffin,SG,0.9038,185,41
Andres Feliz,PG,0.8678,,
Giorgi Bezhanishvili,PF,0.8618,373,63
Trent Frazier,PG,0.9392,109,24
Da'Monte Williams,PG,0.8937,177,34
Kipper Nichols,SF,0.8435,282,58
Tyler Underwood,PG,,,
Zach Griffith,SF,,,
Samson Oladimeji,SF,,,
